Year,Annual_Adopters_Million,Cumulative_Adopters_Million
2024,0.3395608214656616,0.38956082146566157
2025,0.4994011194515765,0.8889619409172381
2026,0.6985961205536576,1.5875580614708957
2027,0.905559992227418,2.4931180536983133
2028,1.0494150499072115,3.5425331036055248
2029,1.0404005167953796,4.582933620400905
2030,0.8452348578655566,5.428168478266461
2031,0.550167102131482,5.978335580397943
2032,0.29235075262584387,6.270686333023788
2033,0.13425389550799188,6.404940228531779
2034,0.05674676286590879,6.461686991397688
2035,0.02305750541512151,6.48474449681281
